hour,is_night,location_risk_score,previous_incidents,battery_level,sos_frequency,distance_to_safe_km,area_type,is_moving,risk_score,risk_label
6,0,19.95,1,92,4,5.48,0,0,46.55,1
11,0,87.84,5,39,2,4.48,1,1,84.68,3
22,1,10.46,4,78,4,5.21,1,1,95.28,3
2,1,74.36,3,4,1,2.33,1,1,91.1,3
15,0,31.91,3,36,3,3.53,0,0,63.46,2
14,0,46.76,0,21,1,2.43,0,0,43.08,1
7,0,33.95,5,4,4,1.54,0,0,72.59,2
18,0,27.81,3,21,4,3.18,1,0,68.71,2
3,1,48.15,0,10,4,3.95,1,1,96.97,3
2,1,29.48,2,76,1,5.42,2,1,79.98,3
8,0,7.18,7,42,0,1.9,1,0,32.86,1
2,1,61.68,3,55,2,1.59,0,0,72.81,2
8,0,73.51,4,74,1,2.29,0,0,47.6,1
18,0,20.68,4,94,2,5.39,0,0,57.38,2
4,1,17.95,6,65,2,2.75,0,1,77.32,3
17,0,87.46,5,35,2,1.57,0,1,64.13,2
0,1,88.8,7,2,3,3.15,1,0,100.0,3
12,0,43.46,2,14,1,5.72,1,0,79.11,3
3,1,55.44,1,96,1,1.59,0,0,56.52,2
2,1,32.15,7,61,0,2.46,1,0,69.01,2
20,1,81.83,7,82,3,2.87,0,1,84.1,3
22,1,5.01,7,35,0,3.77,1,1,79.46,3
19,1,92.38,1,54,2,3.87,0,1,75.31,3
23,1,6.21,3,46,3,1.0,1,0,70.82,2
3,1,31.92,7,42,3,2.82,1,1,88.84,3
14,0,95.01,4,35,2,4.1,2,0,100.0,3
23,1,89.25,3,75,3,5.95,1,1,100.0,3
15,0,94.75,5,37,3,2.48,1,1,85.2,3
14,0,90.71,4,34,2,3.92,0,1,74.82,2
9,0,12.58,6,10,1,3.97,1,1,74.28,2
21,1,19.78,2,17,3,5.18,0,1,97.18,3
16,0,27.52,6,15,1,4.08,2,0,95.09,3
23,1,70.14,4,77,4,3.7,0,0,91.5,3
15,0,97.61,4,41,2,0.24,0,1,49.6,1
23,1,44.39,4,19,4,5.14,0,1,100.0,3
13,0,63.22,6,34,4,5.48,2,0,96.18,3
22,1,74.5,7,99,3,4.6,1,1,100.0,3
10,0,64.48,5,30,1,3.56,0,0,69.73,2
15,0,86.06,6,57,0,0.14,0,0,44.25,1
19,1,13.83,5,77,3,2.4,2,0,96.35,3
22,1,42.28,1,41,3,5.6,2,1,94.74,3
1,1,79.07,1,28,2,4.01,0,1,77.73,3
13,0,42.35,1,51,2,3.05,1,1,46.93,1
15,0,99.94,0,52,0,4.39,2,0,71.52,2
7,0,42.48,3,22,0,4.07,0,0,45.23,1
18,0,82.12,7,42,1,4.52,2,0,80.79,3
5,1,14.39,7,57,4,0.67,0,0,65.88,2
12,0,5.28,1,2,0,4.67,0,0,49.39,1
17,0,16.8,6,4,0,5.18,2,1,78.78,3
12,0,9.28,3,40,2,1.62,1,1,44.52,1
12,0,46.47,6,32,1,1.39,0,1,55.29,2
18,0,8.6,2,19,0,4.96,0,0,58.98,2
20,1,65.35,1,19,2,2.42,2,1,90.2,3
23,1,19.23,4,23,2,1.81,1,1,77.18,3
17,0,82.85,4,38,3,0.26,0,1,54.83,2
14,0,26.02,2,43,1,4.98,1,1,52.42,2
18,0,52.19,2,17,1,3.43,1,1,67.51,2
1,1,21.23,4,89,3,1.11,2,1,91.75,3
19,1,93.55,3,48,0,1.37,1,0,62.81,2
4,1,21.41,7,11,2,2.59,0,0,90.16,3
15,0,32.04,6,35,1,0.43,0,0,50.07,2
6,0,20.54,6,89,0,0.69,0,1,23.6,0
11,0,12.2,4,21,4,4.55,2,1,88.16,3
12,0,4.42,1,41,0,5.7,1,0,41.93,1
22,1,97.86,1,33,2,3.01,2,1,100.0,3
9,0,58.48,3,14,3,1.24,0,0,73.84,2
0,1,35.87,4,67,2,2.65,1,0,70.75,2
22,1,39.15,6,34,1,3.45,1,0,88.88,3
8,0,32.07,4,97,1,2.33,0,0,46.13,1
3,1,38.91,6,23,3,4.56,0,1,94.73,3
23,1,59.74,7,12,3,0.41,2,1,100.0,3
9,0,57.9,7,2,3,4.11,1,0,91.25,3
8,0,85.21,5,25,2,2.85,0,1,64.88,2
18,0,87.88,7,38,4,1.7,0,1,70.4,2
3,1,53.65,3,25,4,5.79,2,1,96.14,3
4,1,87.81,4,38,0,4.88,1,0,90.69,3
15,0,60.72,7,91,2,2.28,0,0,58.45,2
2,1,83.77,0,29,3,5.26,0,0,93.07,3
12,0,69.01,3,58,0,4.04,0,1,46.43,1
14,0,46.17,7,53,4,0.92,0,0,46.09,1
4,1,94.73,0,21,2,4.87,2,0,100.0,3
1,1,87.14,7,64,1,2.64,0,0,74.52,2
8,0,95.87,7,66,0,4.26,0,1,55.41,2
21,1,93.59,6,84,4,0.45,2,0,100.0,3
17,0,91.57,4,87,2,2.44,0,1,50.56,2
1,1,31.07,6,20,2,5.79,0,0,97.64,3
3,1,83.0,5,14,4,5.07,2,1,100.0,3
3,1,54.57,3,55,4,5.83,1,1,81.72,3
10,0,38.63,3,29,1,2.41,0,1,50.78,2
1,1,44.61,1,93,4,0.31,0,1,53.45,2
6,0,21.87,7,39,2,5.62,2,0,91.98,3
5,1,15.36,7,8,0,3.45,2,0,100.0,3
15,0,20.19,5,51,4,3.74,2,1,82.46,3
22,1,9.06,3,24,2,5.68,0,0,82.49,3
2,1,18.28,4,62,1,3.95,1,0,78.23,3
10,0,72.19,7,18,3,1.21,0,1,70.13,2
12,0,50.82,4,93,2,5.97,1,1,64.96,2
11,0,6.68,5,60,1,3.86,0,0,56.75,2
0,1,89.68,3,29,2,0.46,2,1,91.71,3
15,0,42.82,3,64,0,3.82,0,1,42.13,1
18,0,96.06,5,71,1,2.61,2,0,74.7,2
12,0,45.97,4,23,2,0.87,0,1,53.32,2
2,1,89.47,5,73,1,0.75,2,1,92.24,3
3,1,29.13,2,53,0,4.59,1,1,63.49,2
18,0,47.84,2,80,0,1.71,0,0,27.53,1
3,1,70.5,1,8,2,4.72,1,0,100.0,3
4,1,82.06,3,29,1,2.23,0,0,79.22,3
11,0,24.09,7,75,0,1.71,0,0,37.65,1
16,0,36.93,2,90,1,4.6,2,0,68.68,2
11,0,86.72,4,99,2,5.35,2,1,81.31,3
8,0,8.12,3,71,0,2.92,1,0,39.14,1
9,0,55.22,5,83,4,1.43,1,0,56.25,2
18,0,87.29,7,13,4,1.95,0,1,87.35,3
6,0,93.88,3,35,4,1.85,0,1,61.21,2
17,0,94.93,0,77,2,5.02,1,1,65.33,2
4,1,81.2,7,27,4,0.93,1,1,91.31,3
10,0,27.62,1,35,4,1.66,0,1,50.88,2
10,0,77.58,4,77,2,5.03,0,0,65.75,2
13,0,99.41,4,88,0,1.33,1,1,45.42,1
19,1,39.52,2,75,0,1.21,0,0,46.95,1
10,0,86.18,3,53,3,4.17,2,0,91.89,3
9,0,92.33,0,26,4,4.55,0,1,74.11,2
3,1,18.54,1,41,2,1.81,1,0,61.49,2
21,1,26.6,4,28,0,0.9,2,0,86.72,3
22,1,84.67,1,63,1,0.31,0,1,57.99,2
15,0,21.09,3,91,3,5.11,0,1,61.66,2
20,1,30.58,6,11,3,4.58,0,0,100.0,3
18,0,72.84,7,45,0,3.21,1,1,56.78,2
3,1,28.79,5,43,0,1.51,1,1,68.04,2
12,0,39.51,6,79,4,1.56,1,1,59.62,2
6,0,18.85,4,35,3,5.77,1,1,87.38,3
22,1,35.21,2,64,3,5.92,0,0,82.18,3
14,0,28.41,7,52,3,2.36,2,0,82.5,3
21,1,77.02,1,35,1,3.99,2,1,92.39,3
10,0,71.19,1,33,2,3.02,0,0,54.61,2
8,0,3.09,6,40,2,0.4,1,1,44.44,1
12,0,74.61,6,74,4,1.37,1,0,75.17,3
18,0,23.07,3,4,1,4.29,1,1,60.32,2
22,1,47.61,4,14,2,3.88,0,0,94.34,3
21,1,34.96,7,58,0,5.84,2,0,93.91,3
19,1,16.91,2,30,1,0.63,0,0,65.75,2
1,1,7.41,0,14,2,3.52,1,1,83.34,3
9,0,63.85,7,45,2,4.31,0,1,58.34,2
8,0,16.97,3,80,3,1.01,0,0,45.61,1
16,0,68.6,2,65,4,0.56,1,0,56.1,2
7,0,68.89,5,91,0,3.46,0,0,51.69,2
6,0,61.03,4,17,3,0.9,1,1,74.23,2
16,0,7.41,6,45,0,0.61,0,0,24.88,0
19,1,23.71,5,84,4,3.32,1,1,94.66,3
11,0,61.97,5,92,4,3.22,1,0,77.02,3
2,1,51.57,0,67,2,5.54,1,1,82.17,3
11,0,45.06,4,19,2,0.66,0,0,62.49,2
8,0,73.35,6,71,0,3.46,0,0,48.07,1
22,1,62.66,1,33,1,2.53,1,1,67.84,2
5,1,50.02,7,17,3,5.11,2,1,100.0,3
5,1,25.04,5,27,3,5.96,2,1,100.0,3
8,0,86.0,5,41,4,1.3,1,1,69.8,2
19,1,43.98,1,98,2,5.45,1,1,79.83,3
0,1,54.73,2,9,2,3.08,1,0,100.0,3
9,0,33.35,3,34,2,1.21,2,0,68.6,2
1,1,75.93,1,98,2,0.22,0,0,60.19,2
4,1,27.5,5,8,0,3.53,0,0,87.42,3
2,1,60.66,1,24,2,2.71,0,0,77.1,3
19,1,1.1,4,19,2,3.34,0,1,91.01,3
19,1,72.48,5,21,2,5.72,1,1,100.0,3
7,0,35.97,5,23,3,2.18,1,0,72.52,2
7,0,64.4,3,26,3,4.68,2,0,100.0,3
17,0,47.5,4,61,3,0.35,0,0,42.32,1
3,1,17.67,3,15,4,5.56,0,1,99.13,3
22,1,92.5,4,95,2,4.6,2,0,100.0,3
5,1,55.03,7,79,0,5.11,1,1,78.79,3
14,0,57.18,4,17,3,0.54,1,1,67.05,2
12,0,50.98,3,55,1,5.82,1,0,61.58,2
8,0,21.96,5,47,2,4.43,0,1,64.43,2
15,0,85.17,3,78,1,3.75,2,0,71.86,2
6,0,98.73,4,16,2,4.08,0,0,79.64,3
9,0,75.38,3,15,1,2.08,2,1,74.53,2
12,0,44.64,6,95,1,0.78,2,1,54.25,2
6,0,15.27,1,20,3,0.38,0,0,42.09,1
3,1,41.44,4,53,1,0.29,1,0,58.01,2
7,0,10.87,5,42,0,1.56,1,0,36.63,1
9,0,37.78,6,53,1,0.23,1,1,40.52,1
20,1,10.03,3,11,3,5.66,0,1,98.86,3
14,0,28.48,6,79,2,5.58,2,1,75.46,3
8,0,54.7,3,54,0,2.08,2,0,55.08,2
0,1,84.27,4,33,0,5.87,1,0,91.6,3
17,0,26.58,7,79,2,0.64,0,0,43.61,1
22,1,97.11,7,27,4,5.17,0,1,100.0,3
9,0,38.99,6,34,2,5.86,0,1,70.26,2
7,0,39.18,4,21,3,1.17,1,1,66.74,2
12,0,34.89,2,31,3,2.85,0,0,62.28,2
20,1,21.38,0,90,2,0.33,1,0,59.16,2
22,1,74.71,1,35,0,4.86,2,0,96.24,3
14,0,71.36,5,99,2,1.06,1,0,56.71,2
18,0,61.31,1,36,0,5.57,0,0,45.57,1
0,1,24.02,2,28,4,1.75,0,0,75.47,3
10,0,33.9,3,35,1,0.63,0,0,42.24,1
4,1,99.08,2,92,0,3.24,0,1,67.69,2
1,1,84.43,6,48,4,2.66,1,1,97.79,3
19,1,92.92,3,11,4,4.64,0,1,97.14,3
3,1,77.02,0,74,3,3.65,2,0,100.0,3
2,1,41.42,6,6,3,1.66,0,0,94.82,3
1,1,27.03,7,86,4,2.61,0,1,76.26,3
12,0,25.74,2,51,0,2.18,1,0,36.27,1
11,0,25.67,6,67,4,4.73,2,1,80.36,3
20,1,52.65,4,18,1,3.55,0,1,88.77,3
22,1,56.39,0,39,3,0.45,1,0,73.8,2
19,1,51.22,2,27,0,0.8,2,1,74.78,2
6,0,32.33,1,13,2,4.34,0,0,61.43,2
3,1,99.98,6,46,1,2.95,2,1,100.0,3
21,1,92.96,0,66,4,1.96,0,1,70.59,2
10,0,19.0,4,90,4,4.26,0,0,62.3,2
2,1,33.9,5,59,3,0.65,2,1,88.75,3
17,0,13.65,6,33,4,3.27,0,0,63.4,2
11,0,25.45,2,67,1,1.26,0,0,30.0,1
15,0,34.54,5,54,4,2.34,1,1,67.86,2
7,0,90.98,4,91,3,0.45,0,1,59.37,2
16,0,45.84,0,11,2,0.85,1,1,55.88,2
1,1,86.94,5,60,3,3.71,1,1,94.48,3
20,1,3.64,0,56,3,5.18,1,0,78.49,3
0,1,33.9,1,71,3,1.31,0,0,62.96,2
21,1,19.98,2,30,0,4.28,1,1,76.89,3
14,0,3.95,2,9,3,0.35,0,1,49.85,1
17,0,75.65,1,48,1,2.67,0,0,42.36,1
13,0,59.82,3,64,4,5.97,0,0,65.19,2
9,0,35.21,1,30,1,4.61,1,0,55.9,2
20,1,6.7,0,4,2,0.57,0,0,60.17,2
23,1,19.81,1,58,2,3.52,0,0,68.47,2
7,0,42.84,1,11,3,5.22,0,1,69.1,2
13,0,17.03,5,8,2,1.8,1,1,74.47,2
23,1,83.55,6,9,0,0.24,0,1,67.44,2
20,1,54.83,6,43,1,2.98,1,1,84.31,3
9,0,83.07,1,94,0,2.92,2,0,62.61,2
15,0,26.33,6,43,0,3.18,1,0,52.7,2
16,0,25.09,2,86,1,0.98,2,0,54.36,2
14,0,69.39,7,85,0,0.99,0,0,37.4,1
7,0,98.72,6,28,0,4.51,0,1,66.09,2
14,0,35.92,4,3,1,5.95,0,1,68.62,2
12,0,55.53,0,61,2,4.77,1,0,50.67,2
21,1,24.73,4,56,3,2.05,2,0,100.0,3
21,1,41.69,7,21,2,2.97,0,0,84.58,3
5,1,6.74,6,93,3,1.27,1,0,83.46,3
3,1,72.57,7,12,0,4.18,1,0,97.51,3
18,0,71.84,7,59,2,4.21,2,0,82.18,3
4,1,43.71,5,67,3,5.99,0,0,92.79,3
4,1,48.14,6,58,0,2.49,1,0,72.54,2
8,0,72.02,5,20,3,4.76,1,1,84.38,3
12,0,10.12,0,28,4,5.25,1,1,60.91,2
9,0,22.17,4,3,3,4.98,1,1,84.72,3
14,0,44.63,6,86,0,3.17,0,1,42.63,1
18,0,19.3,1,17,1,5.67,1,1,59.81,2
5,1,33.83,0,81,4,4.66,2,0,93.78,3
4,1,5.09,3,96,4,5.31,1,1,88.72,3
13,0,81.95,5,50,0,4.13,2,0,81.09,3
17,0,5.33,2,60,4,5.63,1,1,64.78,2
15,0,41.98,6,13,1,1.47,2,0,84.56,3
0,1,54.86,1,99,1,1.06,1,1,59.53,2
8,0,91.22,3,16,4,5.42,2,1,100.0,3
12,0,63.92,4,52,3,0.2,2,1,67.26,2
14,0,37.73,2,3,4,3.09,0,1,75.53,3
19,1,52.75,1,88,1,5.82,0,1,65.86,2
7,0,54.33,1,50,0,5.71,0,1,46.08,1
23,1,26.24,0,27,2,0.28,1,1,70.14,2
16,0,51.66,5,61,1,0.34,0,0,40.97,1
1,1,1.58,7,66,2,4.53,2,0,93.15,3
13,0,69.67,6,86,4,5.56,0,0,66.25,2
8,0,19.46,0,36,0,2.73,0,0,37.43,1
3,1,40.24,6,77,3,3.95,0,1,83.36,3
17,0,8.87,7,38,2,5.66,2,0,90.05,3
9,0,45.67,5,75,2,0.95,1,0,46.71,1
18,0,35.12,5,31,4,4.93,1,0,81.47,3
18,0,49.43,2,21,1,4.96,2,1,74.44,2
21,1,22.83,7,59,4,3.47,0,1,75.07,3
13,0,28.86,5,25,4,3.03,2,0,92.16,3
16,0,42.86,4,25,2,1.33,2,0,82.62,3
4,1,76.0,7,58,1,1.82,2,1,93.32,3
22,1,66.46,6,18,4,5.96,0,0,93.57,3
19,1,45.29,7,92,1,3.44,0,0,71.38,2
7,0,39.66,6,91,1,1.55,1,1,48.36,1
19,1,7.01,5,58,1,3.72,0,0,67.36,2
11,0,58.2,3,24,2,2.89,2,1,73.55,2
17,0,80.06,4,85,1,3.54,0,0,59.58,2
8,0,67.14,1,18,1,3.12,2,0,83.57,3
9,0,98.69,3,87,0,4.94,0,0,52.71,2
22,1,68.88,6,67,2,2.39,2,1,100.0,3
17,0,89.25,2,24,1,3.89,2,0,79.72,3
7,0,13.95,1,4,4,1.44,1,1,63.93,2
23,1,55.65,4,52,4,2.2,0,1,77.76,3
6,0,78.47,5,32,0,2.42,2,1,68.83,2
0,1,55.5,0,34,2,2.81,0,0,74.03,2
6,0,57.53,5,99,0,5.08,0,0,57.61,2
18,0,78.28,1,22,3,3.03,0,0,69.01,2
0,1,83.74,5,12,0,5.3,1,1,100.0,3
20,1,67.42,4,53,2,5.52,0,1,81.66,3
0,1,94.48,0,51,2,4.08,2,1,91.7,3
23,1,79.95,1,88,0,4.55,0,0,64.63,2
13,0,25.97,4,53,0,0.79,0,0,34.22,1
15,0,21.66,6,69,1,3.28,2,1,62.69,2
12,0,7.51,6,47,3,5.93,2,0,88.02,3
13,0,35.33,4,68,3,5.99,1,1,67.89,2
10,0,11.9,4,29,1,2.04,1,1,51.07,2
4,1,4.5,1,87,1,0.34,0,1,36.56,1
12,0,59.67,2,26,2,5.55,0,1,69.44,2
16,0,95.59,7,98,4,2.84,0,1,65.92,2
12,0,22.2,5,86,2,2.83,2,1,66.67,2
16,0,64.98,3,28,2,0.37,1,0,59.09,2
13,0,24.54,3,76,1,3.57,0,1,43.34,1
1,1,37.65,4,39,1,4.91,0,0,83.85,3
6,0,66.09,7,95,2,4.51,1,1,69.92,2
9,0,31.77,4,12,2,0.83,0,0,56.16,2
7,0,3.62,7,75,3,2.8,0,0,52.46,2
5,1,21.68,0,28,0,3.22,0,0,54.99,2
4,1,54.97,0,32,1,3.34,0,0,71.31,2
0,1,10.83,5,14,0,5.89,1,0,85.97,3
13,0,8.84,7,40,4,1.3,1,1,55.1,2
10,0,93.12,2,16,2,2.34,1,1,79.71,3
14,0,92.29,0,40,2,4.26,0,1,56.03,2
12,0,45.62,2,17,4,5.14,0,0,75.56,3
18,0,0.75,7,87,0,4.08,0,0,43.96,1
14,0,58.81,3,37,1,3.61,0,1,63.38,2
17,0,66.68,7,79,2,2.0,0,1,55.47,2
5,1,98.66,6,23,0,1.1,0,1,76.42,3
3,1,79.84,2,4,4,5.26,0,0,100.0,3
18,0,91.34,6,52,0,1.03,0,0,40.17,1
15,0,10.08,7,74,2,1.62,1,0,48.75,1
7,0,57.38,7,19,1,3.94,0,0,77.94,3
22,1,81.95,4,21,3,4.29,1,1,91.06,3
21,1,27.82,5,11,3,0.49,0,1,92.78,3
23,1,16.03,4,22,3,4.77,2,0,100.0,3
7,0,56.3,0,48,4,1.34,2,1,62.52,2
14,0,59.41,6,47,1,4.5,0,0,54.91,2
18,0,11.08,2,9,3,1.83,2,1,77.89,3
10,0,27.86,5,87,3,5.69,0,1,66.0,2
7,0,74.23,4,48,0,1.95,0,1,41.67,1
20,1,60.24,6,64,1,4.76,0,0,74.68,2
6,0,98.54,1,71,3,0.13,0,1,46.09,1
21,1,92.43,3,67,3,2.74,1,0,86.69,3
23,1,64.25,5,92,3,5.33,0,0,93.86,3
0,1,61.46,6,86,2,3.74,0,1,84.07,3
5,1,59.78,6,45,0,5.31,0,0,74.03,2
21,1,18.19,3,16,3,2.75,0,1,93.48,3
23,1,72.36,0,87,0,2.09,1,1,61.46,2
18,0,22.2,2,24,0,3.99,1,1,54.24,2
18,0,20.53,3,46,3,5.52,2,1,73.95,2
4,1,96.46,6,14,2,0.38,0,0,93.04,3
9,0,95.32,1,21,0,4.59,1,1,62.95,2
13,0,64.64,2,45,0,5.63,0,1,42.36,1
6,0,65.64,0,46,2,1.04,1,1,42.81,1
23,1,16.22,2,92,1,2.05,1,0,56.9,2
4,1,54.17,2,14,3,5.67,0,1,98.1,3
12,0,4.3,0,28,3,4.59,2,1,70.84,2
1,1,37.65,0,31,2,5.98,0,0,82.08,3
9,0,73.51,5,8,3,5.16,0,0,85.13,3
0,1,35.39,6,14,1,2.06,0,0,82.46,3
18,0,31.21,7,78,4,5.79,0,0,72.63,2
17,0,69.06,1,11,0,0.55,1,0,54.87,2
15,0,71.08,5,56,4,4.1,0,0,74.27,2
20,1,0.44,0,51,3,1.62,1,1,59.29,2
0,1,8.05,0,94,3,5.2,0,1,68.54,2
6,0,2.69,1,56,2,3.92,0,1,43.83,1
13,0,15.43,0,57,4,4.59,2,1,66.15,2
22,1,92.82,6,42,0,0.47,0,0,58.3,2
15,0,70.13,2,97,3,3.58,0,1,55.67,2
17,0,1.3,6,29,0,1.72,2,0,64.62,2
6,0,13.9,5,79,4,4.1,0,0,59.05,2
